WKT,id,title,type,description,location,accessibility,opening_hours,toilet_image
POINT (-6.160827867999773 52.795040301253074),160,Arklow Tesco Toilets,Public Toilet,Supermarket restrooms,Arklow,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.156455600000001 52.79871869999999),161,Public Toilet,Public Toilet,Public restroom,Arklow,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-6.153552700000001 52.79682940000001),162,Castlepark public toilet,Public Toilet,Public restroom,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.134951999999998 53.29233559999999),163,Dun Laoghaire Shopping Centre,Public Toilet,Shopping Centre restrooms,Dun Laoghaire,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-8.482562099999999 51.8879753),164,Maxol,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-9.3060517 53.8543221),165,Circle K,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-8.682707599999999 52.35484659999999),166,Public Bathroom,Public Toilet,Public restroom,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.359820100000002 52.5874685),167,Public Toilet,Public Toilet,Public restroom,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-8.909156700000002 52.178149),168,Church Street Public Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-9.067135500000001 52.0599031),169,Public Toilets,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.5104088 52.0574275),170,Public Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.3778044 53.3864635),171,SuperValu Blanchardstown,Public Toilet,Supermarket restrooms,Blanchardstown,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.3821752 53.383742),172,Public Toilet,Public Toilet,Public restroom,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.273502499999999 53.3458874),173,Four Courts,Public Toilet,Landmark restrooms,Dublin,Not wheelchair accessible,Mon-Sun: 9am-5pm,toilet_image.png
POINT (-7.8884084 52.5165625),174,Public Toilets,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.0945126 53.1981569),175,Bray Promenade Public Toilets,Public Toilet,Public restrooms,Bray,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.3666383 53.2463326),176,Seipeal Naomh Ainnin,Public Toilet,Landmark restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-6.2633661 53.34250590000001),177,George's Street Arcade,Public Toilet,Shopping Centre restrooms,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-8.478646200000002 54.27292600000001),178,Quayside Shopping Centre,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.7258913 54.9540947),179,Letterkenny Shopping Centre Toilets,Public Toilet,Shopping Centre restrooms,Letterkenny,Not wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-9.014593699999999 51.5661134),180,Public Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.1331397 51.5588487),181,Keelbeg Pier Public Toilets,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.401950599999998 54.013469),182,Applegreen,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-8.2201469 53.0844246),183,Portumna Castle Marina Toilets,Public Toilet,Public restrooms,Portumna,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.3745669 51.4823812),184,Public Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.5322663 53.1710824),185,Public Restroom,Public Toilet,Public restroom,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.687869199999999 53.64276),186,Circle K Beechmount,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.4941825 53.274245),187,The Bridge Centre,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.394560599999999 53.98158069999999),188,Maxol,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.694280499999999 54.96578419999999),189,Alcorn's Flower & Garden Centre,Public Toilet,Retail restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-8.2952289 51.8498886),190,Toilet - WC,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-8.763693 51.643774),191,Public Toilets,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.281631900000001 53.28288149999999),192,Pearse Museum,Public Toilet,Museum restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-5pm,toilet_image.png
POINT (-7.737584 54.948926),193,The Courtyard Shopping Centre Letterkenny,Public Toilet,Shopping Centre restrooms,Letterkenny,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-7.772764500000001 55.02668),194,Spar,Public Toilet,Retail restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.5222195 51.7052925),195,Kinsale Public Toilets,Public Toilet,Public restrooms,Kinsale,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.728635100000001 54.94813430000001),196,Homebase - Letterkenny,Public Toilet,Retail restrooms,Letterkenny,Not wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-7.729839999999999 54.94722999999999),197,Dunnes Stores,Public Toilet,Retail restrooms,Letterkenny,Not wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-7.724915499999998 54.952259),198,Circle K Tobin's,Public Toilet,Gas station with restroom,Letterkenny,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.679515399999999 55.0759033),199,Blaney Stores - Applegreen,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.700047400000001 54.9442652),200,Applegreen,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.228495700000001 53.2725229),201,Maxol Sandyford Service Station,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.1318425 53.29294470000001),202,dlr LexIcon Library and Cultural Centre,Public Toilet,Library restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-6.146033399999999 53.256269),203,Circle K Centenery,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.448012 54.10152),204,Public Toilet,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.683076399999999 52.35667399999999),205,Lidl,Public Toilet,Retail restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-7.660214300000001 52.3597199),206,Clonmel Oil Service Station,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.7003165 52.3604469),207,Prior Park Service Station,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.034709800000001 52.6799254),208,Applegreen,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-7.103123 52.257564),209,Public Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.691463999999999 52.35460680000001),210,Showgrounds Shopping Centre,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-8.2701566 52.2658472),211,Public Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.9327855 52.9086431),212,Circle K,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.270041 53.27816809999999),213,Marlay Park Courtyard,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.932954899999999 53.4200001),214,Golden Island Shopping Centre,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.1390692 53.2929174),215,Tesco Superstore,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.1293142 53.2896498),216,People's Park Toilets,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.114890000000001 53.2666179),217,Tower Tea Rooms Killiney Hill,Public Toilet,Restaurant restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-6.177561799999999 53.3013607),218,Blackrock Market,Public Toilet,Market restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-8.925742300000001 53.2643636),219,Lidl,Public Toilet,Retail restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-7.4676531 53.0040764),220,Mighty Mols Petrol Station,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.1391068 53.17304120000001),221,Avoca Kilmacanoge,Public Toilet,"Part of Avoca but outside access. Free. Separate stalls, unisex. Very nice - well maintained.",,Not Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.039244399999999 55.18836049999999),222,Public Toilets,Public Toilet,Located in an unspecified area.,,Wheelchair Accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-8.1605502 52.4745938),223,Tipperary Town Market,Public Toilet,Free to access,Tipperary Town Market,Not Wheelchair Accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-8.5969435 52.6620096),224,Parkway Shopping Centre Toilets,Public Toilet,Located in Parkway Shopping Centre.,,Wheelchair Accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-8.9597224 51.90468669999999),225,Macroom Town Hall,Public Toilet,Fully accessible only a short dash from the street,,Not Wheelchair Accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-9.298715999999999 54.0936105),226,Gortnor Abbey Pier,Public Toilet,"Located at the motorhome camping facility, open 8am to 8pm in summer",,Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.4656392 52.23066),227,Public Toilets,Public Toilet,"Free public toilets on the street, at the very end of the town at a junction between roads. Near the library car park.",,Not Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.9097391 51.6509804),228,Public Toilet,Public Toilet,Located in an unspecified area.,,Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-10.2734201 52.1392143),229,Dingle Public Toilets,Public Toilet,Located in Dingle.,,Wheelchair Accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-7.234595600000001 52.6430534),230,Blackquarry Service Station,Public Toilet,Accessible toilet downstairs and gender specific toilets upstairs on the right hand side,,Not Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.296613100000001 53.0300166),231,Kyle Centre Portlaoise,Public Toilet,Located in Kyle Centre Portlaoise,,Not Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.4744752 52.9997324),232,Mountrath Public Toilet,Public Toilet,Located in Mountrath.,,Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.582882799999999 54.1153062),233,Top Oil Ballyconnell,Public Toilet,"Located inside the shopping centre attached to the gas station, free access",,Wheelchair Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.514735999999999 54.99832499999999),234,Kernan's EUROSPAR,Public Toilet,"Located inside, in dining area, open until 10pm",,Not Wheelchair Accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.91099 52.84607399999999),235,Circle K,Public Toilet,Clean and well-maintained restroom facilities.,Near the fuel pumps.,Wheelchair accessible.,24-Jul,toilet_image.png
POINT (-6.236251999999998 53.328157),236,Lolly and Cooks,Public Toilet,Public restroom maintained by the cafe.,Adjacent to the cafe entrance.,Wheelchair accessible.,"9am to 5pm, Monday to Sunday",toilet_image.png
POINT (-6.1089222 53.0974671),237,Texaco Newtown Mount Kennedy,Public Toilet,Texaco gas station restroom.,Located on the side of the gas station building.,Wheelchair accessible.,24-Jul,toilet_image.png
POINT (-6.671722 53.403462),238,Circle K,Public Toilet,Convenient restroom facilities.,Adjacent to the convenience store entrance.,Wheelchair accessible.,24-Jul,toilet_image.png
POINT (-6.3914099 53.3946458),239,Blanchardstown Shopping Retail Park Toilet,Public Toilet,Restroom located near the Starbucks building.,Beside the Starbucks entrance.,Wheelchair accessible.,Varies,toilet_image.png
POINT (-7.013064300000001 53.1452193),240,Toilets,Public Toilet,Basic public restroom facilities.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-7.487490999999998 54.8334981),241,Circle K Daly's,Public Toilet,Restroom facilities at Circle K Daly's.,Within the convenience store.,Standard.,24-Jul,toilet_image.png
POINT (-7.902246100000002 55.1728345),242,Public Toilets,Public Toilet,Public restrooms.,Near the beachfront.,Standard.,Varies,toilet_image.png
POINT (-7.609841400000001 55.18840100000001),243,Beach Toilet Facilities,Public Toilet,Restrooms available at the beach.,Adjacent to the beach entrance.,Standard.,Varies,toilet_image.png
POINT (-7.4744752 52.9997324),244,Mountrath Public Toilet,Public Toilet,Public restroom in Mountrath town.,Near the town square.,Standard.,Varies,toilet_image.png
POINT (-7.296613100000001 53.0300166),245,Kyle Centre Portlaoise,Public Toilet,Restroom facilities at Kyle Centre Portlaoise.,Within the shopping center.,Standard.,Varies,toilet_image.png
POINT (-6.1391068 53.17304120000001),246,Avoca Kilmacanoge,Public Toilet,Avoca's restroom facilities.,Near the cafe entrance.,Standard.,Varies,toilet_image.png
POINT (-7.039244399999999 55.18836049999999),247,Public Toilets,Public Toilet,Public restrooms available for visitors.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-8.1605502 52.4745938),248,Tipperary Town Market,Public Toilet,Public restroom facilities at Tipperary Town Market.,Within the market area.,Standard.,Varies,toilet_image.png
POINT (-9.789057500000002 52.10702269999999),249,Library Place,Public Toilet,Public restroom near the library.,Adjacent to the library entrance.,Standard.,Varies,toilet_image.png
POINT (-8.211182899999999 53.6415657),250,Circle K,Public Toilet,Restroom facilities at Circle K.,Within the convenience store.,Standard.,24-Jul,toilet_image.png
POINT (-9.0500059 53.2743705),251,Public Toilet,Public Toilet,Public restroom facilities.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-8.186584 53.628836),252,Casey's Circle K,Public Toilet,Restroom facilities at Casey's Circle K.,Within the convenience store.,Standard.,24-Jul,toilet_image.png
POINT (-8.464214499999999 52.835968),253,Public Toilet,Public Toilet,Public restroom facilities.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-9.2262495 53.7133943),254,Moore Hall,Public Toilet,Restroom facilities at Moore Hall.,Within the premises.,Standard.,Varies,toilet_image.png
POINT (-8.1702185 51.9133194),255,Public Toilets,Public Toilet,Public restroom facilities.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-9.5105962 53.7970708),256,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within the supermarket.,Standard.,Varies,toilet_image.png
POINT (-9.5485655 51.7501238),257,Public Toilet,Public Toilet,Public restroom facilities near Quills in Glengarriff.,Near Quills.,Standard.,Varies,toilet_image.png
POINT (-9.30159 53.85590999999999),258,Dunnes Stores,Public Toilet,Restroom facilities at Dunnes Stores.,Within the store.,Standard.,Varies,toilet_image.png
POINT (-8.4372941 51.8776824),259,Douglas Village Shopping Centre,Public Toilet,Restroom facilities at Douglas Village Shopping Centre.,Within the shopping center.,Standard.,Varies,toilet_image.png
POINT (-8.625490499999998 52.66509569999999),260,Arthur's Quay Shopping Centre,Public Toilet,Restroom facilities at Arthur's Quay Shopping Centre.,Within the shopping center.,Standard.,Varies,toilet_image.png
POINT (-9.0469229 53.27349049999999),261,Galway Station,Public Toilet,Accessible restroom facilities at Galway Station.,Within the station building.,Wheelchair accessible.,24-Jul,toilet_image.png
POINT (-9.045643799999999 53.2749937),262,Galway Coach Station,Public Toilet,Restroom facilities at Galway Coach Station.,Within the coach station.,Standard.,Varies,toilet_image.png
POINT (-9.3481318 52.9342187),263,Lahinch Playground,Public Toilet,Public restroom facilities near Lahinch Playground.,Adjacent to the playground.,Wheelchair accessible.,Varies,toilet_image.png
POINT (-6.1801606 53.4009106),264,Clarehall Shopping Centre Toilets,Public Toilet,Restroom facilities at Clarehall Shopping Centre.,"Towards the Tesco exit on the first floor beside Easons, down a corridor.",Standard.,Varies,toilet_image.png
POINT (-6.530289999999999 53.349127),265,Castletown House,Public Toilet,Portaloos available with lots of toilet paper and hand sanitizer.,"Beside the house, while the house is closed due to COVID restrictions.",Standard.,Varies,toilet_image.png
POINT (-6.470455800000001 53.3679555),266,Car Park - St. Catherine's Park,Public Toilet,Public restroom facilities beside park warden's office in St. Catherine's Park.,Near the park entrance.,Wheelchair accessible.,Varies,toilet_image.png
POINT (-8.4707387 51.89889890000001),267,Brown Thomas Cork,Public Toilet,Clean restroom facilities at Brown Thomas Cork.,Within the store.,Standard.,Varies,toilet_image.png
POINT (-9.677463099999999 52.5120069),268,Ballybunion Castle,Public Toilet,Restroom facilities at Ballybunion Castle.,On Castle green.,Standard.,Varies,toilet_image.png
POINT (-7.111157 52.2621048),269,Public Toilets,Public Toilet,Public restrooms with 20c access fee.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-7.3514024 53.5276449),270,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within the supermarket.,Standard.,Varies,toilet_image.png
POINT (-9.303601999999998 53.2440898),271,Public toilet,Public Toilet,Basic public restroom facilities.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-8.5301238 52.91072800000001),272,Scarriff Public Library,Public Toilet,Restroom facilities at Scarriff Public Library.,Just inside the side door into the building on the left.,Wheelchair accessible.,Varies,toilet_image.png
POINT (-7.809076200000002 52.6784927),273,Thurles Playground,Public Toilet,Public restroom facilities near Thurles Playground.,Beside the children's playground in Thurles Town Park.,Standard.,Varies,toilet_image.png
POINT (-7.4966154 53.3631411),274,Circle K M6 Kilbeggan,Public Toilet,Restroom facilities at Circle K M6 Kilbeggan.,Within the convenience store.,Standard.,Varies,toilet_image.png
POINT (-7.643336 53.4259317),275,Saint Thomas' Church,Public Toilet,Restroom facilities at Saint Thomas' Church.,Back of the church.,Standard.,Varies,toilet_image.png
POINT (-6.548624 53.33415420000001),276,Texaco Spar Celbridge (Apache Pizza & Subway),Public Toilet,Restroom facilities at Texaco Spar Celbridge (Apache Pizza & Subway).,Within the building.,Standard.,Varies,toilet_image.png
POINT (-8.3925197 51.813793),277,Collins's SuperValu Carrigaline,Public Toilet,Restroom facilities at Collins's SuperValu Carrigaline.,Across from the inside entrance into Supervalu.,Standard.,Varies,toilet_image.png
POINT (-8.3923676 51.8133601),278,Public Toilets,Public Toilet,Public restroom facilities with a 30c access fee.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-8.740515 51.74490400000001),279,Riverview Shopping Centre,Public Toilet,Restroom facilities at Riverview Shopping Centre.,Within the shopping center.,Standard.,Varies,toilet_image.png
POINT (-8.660701999999999 51.76551),280,Centra Innishannon,Public Toilet,Restroom facilities at Centra Innishannon.,Within the store.,Standard.,Varies,toilet_image.png
POINT (-8.740204399999998 51.7413873),281,Centra & Topaz Service Station,Public Toilet,Restroom facilities at Centra & Topaz Service Station.,Within the service station.,Standard.,Varies,toilet_image.png
POINT (-8.7255511 51.7468142),282,Texaco Bandon,Public Toilet,Restroom facilities at Texaco Bandon.,Within the gas station.,Standard.,Varies,toilet_image.png
POINT (-6.435784600000002 53.5529603),283,Circle K Coolfore,Public Toilet,Restroom facilities at Circle K Coolfore.,Within the convenience store.,Standard.,Varies,toilet_image.png
POINT (-7.810152299999999 52.6759512),284,IMC,Public Toilet,Restroom facilities at IMC cinema.,Accessible on 2nd floor with escalator located outside cinema.,Wheelchair accessible.,Varies,toilet_image.png
POINT (-6.6483197 53.6363734),285,Public Toilet,Public Toilet,Public restroom facilities near the church.,Beside the steps up to the parking lot.,Standard.,Varies,toilet_image.png
POINT (-6.207576599999999 53.148412),286,Powerscourt Waterfall Parking,Public Toilet,Restroom facilities at Powerscourt Waterfall Parking.,Only accessible for visitors to the Waterfall.,Standard.,Varies,toilet_image.png
POINT (-6.364799999999998 53.96422099999999),287,"Centra Blackrock, Louth",Public Toilet,"Restroom facilities at Centra Blackrock, Louth.",Beside the bottle bank and Centra supermarket.,Standard.,Varies,toilet_image.png
POINT (-10.363489 51.886098),288,Portmagee Public Toilets,Public Toilet,Restroom facilities at Portmagee Public Toilets.,Near the town center.,Standard.,Varies,toilet_image.png
POINT (-6.1092708 53.494055),289,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-7.7225042 51.951815),290,Ardmore Beach,Public Toilet,Public restroom facilities at Ardmore Beach.,Near the beach.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.115229899999999 53.4786157),291,Donabate Beach Public Restroom,Public Toilet,Public toilets managed by Fingal County Council at Donabate Beach.,"Near Donabate Beach, Donabate, Co. Dublin.",Standard.,7:30 AM - 9:00 PM,toilet_image.png
POINT (-6.1589732 53.5862344),292,Argillan Castle Toilets,Public Toilet,Public toilets managed by Fingal County Council in the grounds of Ardgillan Castle and Demesne beside the Castle.,Adjacent to Ardgillan Castle.,Limited access.,10:00 AM - 5:00 PM,toilet_image.png
POINT (-6.197056 53.607483),293,Public toilets,Public Toilet,Public toilets in Millfield Shopping Centre in Balbriggan.,Within Millfield Shopping Centre.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-8.527950099999998 54.3898148),294,"CIRCLE K, Grange",Public Toilet,"Restroom facilities at CIRCLE K, Grange.",Near the carwash.,Standard.,6:00 AM - 11:00 PM,toilet_image.png
POINT (-10.2747203 51.8209359),295,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-10.287381 51.9260644),296,Public Toilets,Public Toilet,Basic public restroom facilities.,Near the harbor.,Not confirmed.,8:30 AM - 6:30 PM,toilet_image.png
POINT (-6.253187499999999 53.2753467),297,SuperValu Ballinteer,Public Toilet,Restroom facilities at SuperValu Ballinteer.,Within SuperValu Ballinteer.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-7.299661300000001 53.0145511),298,Midway Food Court Portlaoise,Public Toilet,Restroom facilities at Midway Food Court Portlaoise.,Within the food court.,Standard.,10:00 AM - 8:00 PM,toilet_image.png
POINT (-6.581855099999999 53.3808264),299,Tesco Extra,Public Toilet,Restroom facilities at Tesco Extra.,Within Tesco Extra.,Standard.,7:00 AM - 12:00 AM,toilet_image.png
POINT (-6.2186663 53.4538665),300,Swords Pavilions Shopping Centre Toilets,Public Toilet,Restroom facilities at Swords Pavilions Shopping Centre.,Within the shopping centre.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-6.2431052 53.4268925),301,Dublin Airport Toilets,Public Toilet,Restroom facilities at Dublin Airport.,Within Dublin Airport.,Standard.,Open 24 hours,toilet_image.png
POINT (-6.24497 53.4273061),302,Dublin Airport Departures Toilets,Public Toilet,Restroom facilities at Dublin Airport Departures area.,Within Dublin Airport.,Standard.,Open 24 hours,toilet_image.png
POINT (-6.247866 53.398634),303,Public Toilets,Public Toilet,Public toilets managed by Fingal County Council in Santry Demesne.,At the playground in Santry Demesne.,Same as playground.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-7.853466299999999 51.95915960000001),304,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,6:30 AM - 11:00 PM,toilet_image.png
POINT (-9.4553722 51.6804944),305,Bantry Town Square,Public Toilet,Restroom facilities at Bantry Town Square.,Within Bantry Town Square.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-7.626302 52.08661300000001),306,Amber,Public Toilet,Restroom facilities at Amber.,Nearby.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.889343399999999 53.7309947),307,"Park Rí, Kells",Public Toilet,"Restroom facilities at Park Rí, Kells.",Within Park Rí.,Standard.,7:30 AM - 9:00 PM,toilet_image.png
POINT (-6.687313 53.6537867),308,Navan Shopping Centre,Public Toilet,Restroom facilities at Navan Shopping Centre.,Within the shopping centre.,Standard.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-9.835648100000002 52.3891619),309,Waterfront Car Park,Public Toilet,Restroom facilities at Waterfront Car Park.,Within the car park.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-9.4825258 52.4504011),310,Lidl,Public Toilet,Restroom facilities at Lidl.,Within Lidl.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-9.4788199 52.4497234),311,ALDI,Public Toilet,Restroom facilities at ALDI.,Within ALDI.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-9.4653719 52.4486073),312,Applegreen,Public Toilet,Restroom facilities at Applegreen.,Nearby.,Standard.,7:00 AM - 11:00 PM,toilet_image.png
POINT (-9.4871537 52.4469882),313,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.1048742 53.2677599),314,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-10.0444256 51.64159979999999),315,Allihies Playground Public Toilets,Public Toilet,Restroom facilities at Allihies Playground.,Near the playground.,Standard.,8:30 AM - 6:30 PM,toilet_image.png
POINT (-9.9570659 51.6949885),316,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-7.933184600000001 52.1378072),317,Lismore Playground,Public Toilet,Restroom facilities at Lismore Playground.,Near the playground.,Standard.,9:00 AM - 5:00 PM,toilet_image.png
POINT (-9.6634965 53.7876809),318,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-7.624444399999998 52.09055559999999),319,Dungarvan Shopping Centre,Public Toilet,Restroom facilities at Dungarvan Shopping Centre.,Within the shopping centre.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
